Dates,EW,Forward_rates,Forward_spread
2003-01-31,0.01313390294496008,0.016528095890842365,0.01684433509901978
2003-02-28,-0.004161800133187715,-0.003647100844480753,-0.003647100844480753
2003-03-31,0.009799864129647213,0.014969587282105349,0.01012725796004066
2003-04-30,0.03568802391075707,0.045941882219104925,0.043121976127667355
2003-05-30,-0.012407774844248445,-0.016086535941738995,-0.017901645371775094
2003-06-30,-0.03273971808974991,-0.036195892420848294,-0.04099402654857871
2003-07-31,-0.004747410001868444,-0.008495322608051574,-0.0019746367790691435
2003-08-29,0.03084077154998642,0.04368324423102298,0.04329874260223481
2003-09-30,-0.01802788338662146,-0.018478720506160146,-0.01962929540906546
2003-10-31,0.007655510798949025,0.011759705571913923,0.005061988776687583
2003-11-28,0.01967459742707246,0.024184211491101257,0.03291333560777777
2003-12-31,0.005922790870393018,0.010608365154734487,0.005172036152744398
2004-01-30,0.013115644178246247,0.01238105222902825,0.016861421315410425
2004-02-27,0.0018399635900217283,0.006738713493266812,0.0054435230650000275
2004-03-31,-0.02360440741074386,-0.029787817749502864,-0.034258348238295204
2004-04-30,-0.0014430123783760115,-0.0005307378781631226,-0.0015733486649399003
2004-05-31,0.001574574193573971,0.003007267349862053,0.0008945361756678054
2004-06-30,0.004845000668461495,0.002381829371208852,0.00642712048253424
2004-07-30,0.022260361307045468,0.019661179594214883,0.028847755167149172
2004-08-31,0.009559704147686298,0.005868352634901163,0.01195592487704345
2004-09-30,0.013275147154941212,0.0141227518899952,0.016200720437907837
2004-10-29,0.008918653899920534,0.016464940766022774,0.011594652280229753
2004-11-30,0.014647079971369404,0.014548093163958843,0.02189102590684931
2004-12-31,0.0013742606645341545,-0.0027310601100269238,-0.00031542354901475424
2005-01-31,-0.004527873185097357,-0.002905471000225427,-0.0032624005939457
2005-02-28,0.0006612038695318351,0.0013924610668972176,0.0024291488234788826
2005-03-31,0.01560670826264906,0.011345630808012264,0.01365256097418499
2005-04-29,0.007076513131803983,-0.0005928916428685752,0.00301189038331478
2005-05-31,0.007375341030789369,0.005846974833362646,0.0070834480049312
2005-06-30,-0.0076390262434757146,-0.008516587399340136,-0.00406773427986141
2005-07-29,0.015550073149283916,0.02025934839841093,0.012125574041322026
2005-08-31,-0.013434419702217591,-0.015659589491800685,-0.010642532620790537
2005-09-30,-0.00807953531028256,-0.009162530976133402,-0.004805303085693389
2005-10-31,0.004757188718175082,0.0031564822761434275,0.0030681816541711345
2005-11-30,0.010969510817060638,0.007855591377748678,0.008805212430457305
2005-12-30,0.0007153076558258659,0.003323105020319697,0.0054970505146218
2006-01-31,-0.0006585475149450768,-0.0024219063066270225,-0.003921652818452352
2006-02-28,-0.008466212174937406,-0.00832858371349374,-0.003537517631837565
2006-03-31,-0.002269802640921599,0.0030964561424180956,0.003394874588291202
