SharpeGeometric,Overheat,Recovery,Reflation,Stagflation
Value,1.1431290528133315,0.779274054487363,0.7651287765844954,1.115879403010041
Carry,0.7346962201727862,1.0560427403892119,0.37948459713702654,0.6088240058551668
Low Volatility,0.657926076411807,0.4860178667830753,0.12339165368472775,0.6438289234816778
Momentum,0.9139988698153706,0.8847399215611019,0.46046397782281495,0.7525423996782126
Size,1.2978439535225994,0.5504875688310776,0.3970065796377863,0.10070455472616875
Quality,1.0878871779515207,0.6646483901976542,0.49588483604601946,0.9698388087871873
Macro,0.9580765690419036,0.4143712891038965,0.7215033845170118,1.042347763325931
Forward,0.8674051241441231,0.21501469079928454,0.47715071581798485,0.7538982048717751
Term,0.8885687312084845,0.445128719926932,0.4161575076243922,1.2413812484392481
Combo,1.1659775905093412,0.7412087942294328,0.5711982218089282,0.9281382120498556
Equal,1.2375345668135813,0.885193247707282,0.43143865625089345,0.6154912220641545
